target,rank,feature
target_yield_cereals,1,dependency_ratio
target_yield_cereals,2,fertilizer_consumption
target_yield_cereals,3,gdp_per_arable_ha_lag5
target_yield_cereals,4,Irrigation_equipee_ha
target_yield_cereals,5,bio9_temp_driest_quarter
target_yield_cereals,6,pop_under14_pct
target_yield_cereals,7,Part_terres_arables
target_yield_cereals,8,P_annual_mm_roll5
target_yield_cereals,9,agri_output_usd
target_yield_cereals,10,yield_banana
target_yield_cereals,11,nasa_t2m_min_ref
target_yield_cereals,12,dist_to_river_km
target_yield_cereals,13,forest_area_pct
target_yield_cereals,14,agri_output_usd_lag5
target_yield_cereals,15,Part_irriguee
target_yield_cereals,16,yield_rapeseed
target_yield_cereals,17,nasa_t2m_range_ref
target_yield_cereals,18,precip_mean
target_yield_cereals,19,forest_area_km2
target_yield_cereals,20,freshwater_withdraw_total
target_yield_oilcrops,1,nasa_rh2m_ref
target_yield_oilcrops,2,yield_cotton
target_yield_oilcrops,3,yield_coconut
target_yield_oilcrops,4,Child_Mort
target_yield_oilcrops,5,precip_mean
target_yield_oilcrops,6,yield_olives
target_yield_oilcrops,7,P_annual_mm_roll5
target_yield_oilcrops,8,yield_groundnut
target_yield_oilcrops,9,yield_rapeseed
target_yield_oilcrops,10,yield_sunflower
target_yield_oilcrops,11,P_annual_mm_lag5
target_yield_oilcrops,12,agri_vs_services_ratio
target_yield_oilcrops,13,employ_services_pct
target_yield_oilcrops,14,forest_area_km2
target_yield_oilcrops,15,yield_apple
target_yield_oilcrops,16,employ_agri_pct
target_yield_oilcrops,17,nasa_t2m_range_ref
target_yield_oilcrops,18,freshwater_withdraw_total
target_yield_oilcrops,19,infant_deaths_total
target_yield_oilcrops,20,temp_mean
target_yield_pulses,1,Electricity_pct
target_yield_pulses,2,yield_drybean
target_yield_pulses,3,yield_drypea
target_yield_pulses,4,bio19_precip_coldest_quarter
target_yield_pulses,5,solar_radiation_mean
target_yield_pulses,6,owid_co2_pc_lag5
target_yield_pulses,7,feature_photoperiod_range
target_yield_pulses,8,dependency_old
target_yield_pulses,9,yield_eggplant
target_yield_pulses,10,owid_co2_pc
target_yield_pulses,11,yield_chickpea
target_yield_pulses,12,nasa_t2m_max_ref
target_yield_pulses,13,heat_drought_stress
target_yield_pulses,14,precip_seasonality
target_yield_pulses,15,wind_speed_mean
target_yield_pulses,16,bio3_isothermality
target_yield_pulses,17,Child_Mort
target_yield_pulses,18,co_emissions
target_yield_pulses,19,P_annual_mm_roll5
target_yield_pulses,20,temp_max
target_yield_roots,1,yield_potato
target_yield_roots,2,bio3_isothermality
target_yield_roots,3,nasa_allsky_sfc_sw_dwn_ref
target_yield_roots,4,elevation_std
target_yield_roots,5,last_eruption_year
target_yield_roots,6,Terres_culture_ha
target_yield_roots,7,pop_under14_pct
target_yield_roots,8,dist_to_coast_km
target_yield_roots,9,soil_moisture_top_root_ratio
target_yield_roots,10,dist_to_lake_km
target_yield_roots,11,yield_avocado
target_yield_roots,12,nasa_t2m_max_ref
target_yield_roots,13,freshwater_internal_per_cap
target_yield_roots,14,arable_per_capita
target_yield_roots,15,yield_groundnut
target_yield_roots,16,Irrigation_equipee_ha
target_yield_roots,17,feature_photoperiod_range
target_yield_roots,18,solar_radiation_mean
target_yield_roots,19,forest_area_km2
target_yield_roots,20,dependency_young
target_yield_fruits,1,yield_banana
target_yield_fruits,2,yield_apple
target_yield_fruits,3,dist_to_coast_km
target_yield_fruits,4,yield_tomato
target_yield_fruits,5,yield_grape
target_yield_fruits,6,bio7_temp_annual_range
target_yield_fruits,7,bio9_temp_driest_quarter
target_yield_fruits,8,dist_to_lake_km
target_yield_fruits,9,nasa_t2m_min_ref
target_yield_fruits,10,temp_min
target_yield_fruits,11,yield_pineapple
target_yield_fruits,12,yield_dates
target_yield_fruits,13,temp_mean
target_yield_fruits,14,bio4_temp_seasonality
target_yield_fruits,15,RD_GDP
target_yield_fruits,16,bio11_temp_coldest_quarter
target_yield_fruits,17,yield_orange
target_yield_fruits,18,yield_lemon
target_yield_fruits,19,meat_consumption_pc_roll5
target_yield_fruits,20,longitude
target_yield_vegetables,1,yield_carrot
target_yield_vegetables,2,yield_potato
target_yield_vegetables,3,yield_tomato
target_yield_vegetables,4,growing_season_index
target_yield_vegetables,5,yield_cucumber
target_yield_vegetables,6,feature_photoperiod_range
target_yield_vegetables,7,adult_mortality_female
target_yield_vegetables,8,yield_cabbage
target_yield_vegetables,9,bio19_precip_coldest_quarter
target_yield_vegetables,10,bio7_temp_annual_range
target_yield_vegetables,11,dependency_ratio
target_yield_vegetables,12,Irrigation_equipee_ha
target_yield_vegetables,13,bio8_temp_wettest_quarter
target_yield_vegetables,14,yield_orange
target_yield_vegetables,15,Pesticides_kgha_roll5
target_yield_vegetables,16,temp_min
target_yield_vegetables,17,yield_pineapple
target_yield_vegetables,18,yield_eggplant
target_yield_vegetables,19,feature_photoperiod_winter
target_yield_vegetables,20,growing_season_index_lag1
target_water_stress,1,bio18_precip_warmest_quarter
target_water_stress,2,forest_per_capita_km2
target_water_stress,3,solar_radiation_mean
target_water_stress,4,Birth_Rate
target_water_stress,5,P_annual_mm_roll5
target_water_stress,6,bio19_precip_coldest_quarter
target_water_stress,7,nasa_gwettop_ref
target_water_stress,8,dist_to_river_km
target_water_stress,9,growing_season_index
target_water_stress,10,drought_stress_index
target_water_stress,11,longitude
target_water_stress,12,dependency_old
target_water_stress,13,safe_water_pct
target_water_stress,14,nasa_prectotcorr_ref
target_water_stress,15,pop_density_per_km2
target_water_stress,16,dist_to_coast_km
target_water_stress,17,forest_rents_pct_gdp
target_water_stress,18,yield_olives
target_water_stress,19,bio14_precip_driest_month
target_water_stress,20,nasa_ps_ref
target_soil_degradation,1,Engrais_kgha
target_soil_degradation,2,agri_vs_services_ratio
target_soil_degradation,3,Part_terres_arables
target_soil_degradation,4,Engrais_kgha_roll5
target_soil_degradation,5,Terres_culture_ha
target_soil_degradation,6,Terres_arables_ha
target_soil_degradation,7,employ_services_pct
target_soil_degradation,8,cereals_area_ha
target_soil_degradation,9,cereals_prod_t
target_soil_degradation,10,employ_agri_pct_roll5
target_soil_degradation,11,births_per_1000_minus_deaths
target_soil_degradation,12,cereal_production_t_roll5
target_soil_degradation,13,employ_agri_pct
target_soil_degradation,14,Birth_Rate
target_soil_degradation,15,nasa_ps
target_soil_degradation,16,Engrais_kgha_roll5_std
target_soil_degradation,17,Superficie_pays_ha
target_soil_degradation,18,nasa_ps_ref
target_soil_degradation,19,Superficie_terres_ha
target_soil_degradation,20,Trade_GDP
target_thermal_anomaly,1,nasa_t2m_anomaly
target_thermal_anomaly,2,feature_photoperiod_winter
target_thermal_anomaly,3,nasa_t2m_range_ref
target_thermal_anomaly,4,feature_photoperiod_summer
target_thermal_anomaly,5,latitude
target_thermal_anomaly,6,co2_ppm_global
target_thermal_anomaly,7,co2_ppm_global_lag1
target_thermal_anomaly,8,co2_ppm_global_lag3
target_thermal_anomaly,9,co2_ppm_global_lag5
target_thermal_anomaly,10,co2_ppm_global_roll5
target_thermal_anomaly,11,bio3_isothermality
target_thermal_anomaly,12,bio4_temp_seasonality
target_thermal_anomaly,13,nasa_allsky_sfc_sw_dwn
target_thermal_anomaly,14,nasa_allsky_sfc_sw_dwn_ref
target_thermal_anomaly,15,bio7_temp_annual_range
target_thermal_anomaly,16,nasa_gwetprof_ref
target_thermal_anomaly,17,who_pm25_mean
target_thermal_anomaly,18,amo_lag3
target_thermal_anomaly,19,T_annual_C_roll5_std
target_thermal_anomaly,20,roughness_m
target_soil_moisture_root,1,nasa_prectotcorr_ref
target_soil_moisture_root,2,aridity_index_real
target_soil_moisture_root,3,nasa_prectotcorr
target_soil_moisture_root,4,bio19_precip_coldest_quarter
target_soil_moisture_root,5,nasa_t2m_max_ref
target_soil_moisture_root,6,precip_mean
target_soil_moisture_root,7,dist_to_river_km
target_soil_moisture_root,8,nasa_t2m_range
target_soil_moisture_root,9,wind_speed_mean
target_soil_moisture_root,10,forest_area_km2
target_soil_moisture_root,11,elevation
target_soil_moisture_root,12,dist_to_coast_km
target_soil_moisture_root,13,vapor_pressure_mean
target_soil_moisture_root,14,pop_density_per_km2_lag1
target_soil_moisture_root,15,bio7_temp_annual_range
target_soil_moisture_root,16,bio8_temp_wettest_quarter
target_soil_moisture_root,17,nasa_t2m_max
target_soil_moisture_root,18,dist_to_freshwater_km
target_soil_moisture_root,19,precip_seasonality
target_soil_moisture_root,20,temp_mean
target_forest_share,1,forest_area_pct
target_forest_share,2,roughness_m
target_forest_share,3,co_emissions
target_forest_share,4,growing_season_index
target_forest_share,5,nasa_prectotcorr_ref
target_forest_share,6,dist_to_coast_km
target_forest_share,7,bio10_temp_warmest_quarter
target_forest_share,8,nasa_ws10m_ref
target_forest_share,9,owid_agri_land_share
target_forest_share,10,infant_deaths_total
target_forest_share,11,precip_mean
target_forest_share,12,bio18_precip_warmest_quarter
target_forest_share,13,growing_season_index_lag5
target_forest_share,14,bio3_isothermality
target_forest_share,15,Agri_Land_pct
target_forest_share,16,wind_speed_mean
target_forest_share,17,bio9_temp_driest_quarter
target_forest_share,18,nasa_allsky_sfc_sw_dwn_ref
target_forest_share,19,bio13_precip_wettest_month
target_forest_share,20,heat_drought_stress
target_tree_cover_loss,1,owid_deaths_total
target_tree_cover_loss,2,nasa_prectotcorr_ref
target_tree_cover_loss,3,area_km2
target_tree_cover_loss,4,freshwater_internal_per_cap
target_tree_cover_loss,5,Superficie_terres_ha
target_tree_cover_loss,6,nasa_allsky_sfc_sw_dwn_roll5
target_tree_cover_loss,7,owid_agri_land_share
target_tree_cover_loss,8,Superficie_pays_ha
target_tree_cover_loss,9,CO2_emissions
target_tree_cover_loss,10,meat_consumption_pc_roll5
target_tree_cover_loss,11,owid_births_total
target_tree_cover_loss,12,forest_per_capita_km2
target_tree_cover_loss,13,co_emissions
target_tree_cover_loss,14,meat_consumption_pc
target_tree_cover_loss,15,nasa_t2m_min
target_tree_cover_loss,16,owid_pop_density
target_tree_cover_loss,17,P_annual_mm_roll5
target_tree_cover_loss,18,Agri_Land_pct
target_tree_cover_loss,19,Part_terres_agricoles
target_tree_cover_loss,20,co_emissions_lag1
target_child_mortality,1,agri_vs_services_ratio
target_child_mortality,2,feature_photoperiod_range
target_child_mortality,3,cereal_yield
target_child_mortality,4,Part_irriguee
target_child_mortality,5,fertilizer_consumption
target_child_mortality,6,co2_ppm_global_lag3
target_child_mortality,7,co2_ppm_global_roll5
target_child_mortality,8,co2_ppm_global_lag5
target_child_mortality,9,co2_ppm_global_lag1
target_child_mortality,10,CO2_emissions
target_child_mortality,11,arable_per_capita
target_child_mortality,12,Irrigation_equipee_ha
target_child_mortality,13,co2_ppm_global
target_child_mortality,14,yield_pulses_kgha
target_child_mortality,15,dist_to_coast_km
target_child_mortality,16,bio11_temp_coldest_quarter
target_child_mortality,17,yield_tomato
target_child_mortality,18,bio19_precip_coldest_quarter
target_child_mortality,19,Pesticides_kgha
target_child_mortality,20,conflict_per_million
target_life_expectancy,1,agri_vs_services_ratio
target_life_expectancy,2,cereal_yield
target_life_expectancy,3,bio4_temp_seasonality
target_life_expectancy,4,forest_rents_pct_gdp
target_life_expectancy,5,T_anomaly_roll5
target_life_expectancy,6,Part_irriguee
target_life_expectancy,7,Part_terres_agricoles
target_life_expectancy,8,forest_per_capita_km2
target_life_expectancy,9,nasa_allsky_sfc_sw_dwn_roll5
target_life_expectancy,10,yield_tomato
target_life_expectancy,11,Pesticides_kgha_roll5
target_life_expectancy,12,precip_seasonal_amplitude
target_life_expectancy,13,bio2_mean_diurnal_range
target_life_expectancy,14,yield_vegetables_kgha
target_life_expectancy,15,nasa_allsky_sfc_sw_dwn_ref
target_life_expectancy,16,dist_to_coast_km
target_life_expectancy,17,bio11_temp_coldest_quarter
target_life_expectancy,18,feature_photoperiod_range
target_life_expectancy,19,forest_change
target_life_expectancy,20,co2_ppm_global_lag5
target_pop_growth,1,nasa_t2m_max_ref
target_pop_growth,2,bio14_precip_driest_month
target_pop_growth,3,drought_stress_index
target_pop_growth,4,Part_irriguee
target_pop_growth,5,bio4_temp_seasonality
target_pop_growth,6,precip_seasonal_amplitude
target_pop_growth,7,longitude
target_pop_growth,8,bio10_temp_warmest_quarter
target_pop_growth,9,conflict_per_million
target_pop_growth,10,agri_vs_services_ratio
target_pop_growth,11,drought_stress_index_roll5
target_pop_growth,12,CO2_emissions
target_pop_growth,13,drought_stress_index_lag1
target_pop_growth,14,heat_drought_stress
target_pop_growth,15,forest_rents_pct_gdp
target_pop_growth,16,dist_to_lake_km
target_pop_growth,17,roughness_m
target_pop_growth,18,cereals_area_ha
target_pop_growth,19,latitude
target_pop_growth,20,feature_photoperiod_summer
target_birth_rate,1,cereal_yield
target_birth_rate,2,agri_vs_services_ratio
target_birth_rate,3,nasa_allsky_sfc_sw_dwn_ref
target_birth_rate,4,forest_rents_pct_gdp
target_birth_rate,5,precip_seasonality
target_birth_rate,6,Part_irriguee
target_birth_rate,7,nasa_t2m_max_ref
target_birth_rate,8,feature_photoperiod_range
target_birth_rate,9,bio4_temp_seasonality
target_birth_rate,10,dist_to_coast_km
target_birth_rate,11,elevation
target_birth_rate,12,bio8_temp_wettest_quarter
target_birth_rate,13,co2_ppm_global_lag1
target_birth_rate,14,T_anomaly_roll5
target_birth_rate,15,co2_ppm_global_lag5
target_birth_rate,16,precip_seasonal_amplitude
target_birth_rate,17,co2_ppm_global
target_birth_rate,18,dist_to_lake_km
target_birth_rate,19,fertilizer_consumption
target_birth_rate,20,nasa_ps
target_death_rate,1,arable_per_capita
target_death_rate,2,Part_irriguee
target_death_rate,3,forest_rents_pct_gdp
target_death_rate,4,agri_vs_services_ratio
target_death_rate,5,nasa_allsky_sfc_sw_dwn_ref
target_death_rate,6,Bilan_sols_kgha_lag5
target_death_rate,7,conflict_per_million
target_death_rate,8,bio9_temp_driest_quarter
target_death_rate,9,longitude
target_death_rate,10,dist_to_lake_km
target_death_rate,11,nasa_t2m_ref
target_death_rate,12,T_anomaly_roll5
target_death_rate,13,feature_photoperiod_range
target_death_rate,14,roughness_m
target_death_rate,15,yield_tomato
target_death_rate,16,forest_per_capita_km2
target_death_rate,17,co2_ppm_global_roll5
target_death_rate,18,dist_to_coast_km
target_death_rate,19,bio11_temp_coldest_quarter
target_death_rate,20,precip_seasonal_amplitude
target_net_migration,1,forest_area_km2
target_net_migration,2,Irrigation_equipee_ha
target_net_migration,3,Superficie_pays_ha
target_net_migration,4,yield_grape
target_net_migration,5,cereals_area_ha
target_net_migration,6,CO2_emissions
target_net_migration,7,yield_lettuce
target_net_migration,8,yield_banana
target_net_migration,9,yield_cereals_kgha_roll5
target_net_migration,10,Bio_ha
target_net_migration,11,agri_vs_services_ratio
target_net_migration,12,population_within_100km_max
target_net_migration,13,yield_strawberry
target_net_migration,14,forest_per_capita_km2
target_net_migration,15,Terres_culture_ha
target_net_migration,16,disaster_affected_cumul5y
target_net_migration,17,mineral_rents_pct_gdp
target_net_migration,18,nasa_t2m_range_ref
target_net_migration,19,cereals_prod_t
target_net_migration,20,P_annual_mm_lag5
target_fertility,1,forest_rents_pct_gdp
target_fertility,2,agri_vs_services_ratio
target_fertility,3,feature_photoperiod_range
target_fertility,4,fertilizer_consumption
target_fertility,5,forest_share_pct
target_fertility,6,Part_irriguee
target_fertility,7,longitude
target_fertility,8,food_production_index
target_fertility,9,cereal_yield
target_fertility,10,yield_cereals_kgha_roll5
target_fertility,11,Part_terres_agricoles
target_fertility,12,yield_cereals_kgha_lag5
target_fertility,13,yield_grape
target_fertility,14,nasa_t2m_lag5
target_fertility,15,nasa_allsky_sfc_sw_dwn_ref
target_fertility,16,yield_cereals_kgha_lag3
target_fertility,17,co2_ppm_global_lag5
target_fertility,18,agri_density
target_fertility,19,Superficie_terres_ha
target_fertility,20,co2_ppm_global
target_stunting,1,agri_vs_services_ratio
target_stunting,2,yield_vegetables_kgha
target_stunting,3,yield_pulses_kgha
target_stunting,4,elevation
target_stunting,5,years_since_last_eruption
target_stunting,6,food_production_index
target_stunting,7,roughness_m
target_stunting,8,bio2_mean_diurnal_range
target_stunting,9,nasa_allsky_sfc_sw_dwn_ref
target_stunting,10,feature_photoperiod_range
target_stunting,11,elevation_std
target_stunting,12,yield_carrot
target_stunting,13,T_anomaly_roll5
target_stunting,14,area_km2
target_stunting,15,nasa_ws10m_ref
target_stunting,16,feature_photoperiod_winter
target_stunting,17,yield_tomato
target_stunting,18,bio18_precip_warmest_quarter
target_stunting,19,precip_seasonal_amplitude
target_stunting,20,bio11_temp_coldest_quarter
target_disaster_deaths,1,CO2_emissions
target_disaster_deaths,2,Energy_total
target_disaster_deaths,3,longitude
target_disaster_deaths,4,freshwater_withdraw_total
target_disaster_deaths,5,bio7_temp_annual_range
target_disaster_deaths,6,Irrigation_equipee_ha
target_disaster_deaths,7,P_anomaly_pct
target_disaster_deaths,8,owid_temp_anomaly_roll5
target_disaster_deaths,9,Population_lag1
target_disaster_deaths,10,bio13_precip_wettest_month
target_disaster_deaths,11,Population_roll5_std
target_disaster_deaths,12,pop_65_plus_pct_lag5
target_disaster_deaths,13,cereals_area_ha
target_disaster_deaths,14,elevation_std
target_disaster_deaths,15,pop_65_plus_pct_lag3
target_disaster_deaths,16,Population_roll5
target_disaster_deaths,17,nasa_ps
target_disaster_deaths,18,roughness_m
target_disaster_deaths,19,Population_lag5
target_disaster_deaths,20,pop_65_plus_pct_lag1
target_disaster_affected,1,owid_births_total
target_disaster_affected,2,Energy_total
target_disaster_affected,3,CO2_emissions
target_disaster_affected,4,owid_co2_pc_roll5
target_disaster_affected,5,owid_ghg_by_sector
target_disaster_affected,6,crop_diversity
target_disaster_affected,7,forest_area_km2
target_disaster_affected,8,Irrigation_equipee_ha
target_disaster_affected,9,longitude
target_disaster_affected,10,water_stress_ratio_raw
target_disaster_affected,11,owid_co2_pc_lag3
target_disaster_affected,12,Water_Withdrawal_pct
target_disaster_affected,13,owid_co2_pc
target_disaster_affected,14,P_anomaly_pct
target_disaster_affected,15,feature_vsi
target_disaster_affected,16,nasa_t2m_range_anomaly
target_disaster_affected,17,yield_pulses_kgha
target_disaster_affected,18,owid_co2_pc_lag5
target_disaster_affected,19,area_km2
target_disaster_affected,20,Renew_Energy_pct
target_yield_soybeans,1,heat_drought_stress
target_yield_soybeans,2,GDP_pc
target_yield_soybeans,3,nasa_ps
target_yield_soybeans,4,employ_agri_pct
target_yield_soybeans,5,manuf_value_pct_gdp
target_yield_soybeans,6,GDP_pc_lag1
target_yield_soybeans,7,Life_Exp
target_yield_soybeans,8,dist_to_freshwater_km
target_yield_soybeans,9,temp_min
target_yield_soybeans,10,nasa_t2m
target_yield_soybeans,11,longitude
target_yield_soybeans,12,nasa_t2m_roll5
target_yield_soybeans,13,nasa_t2m_lag3
target_yield_soybeans,14,water_stress_ratio_raw
target_yield_soybeans,15,solar_radiation_mean
target_yield_soybeans,16,freshwater_withdraw_total
target_yield_soybeans,17,nasa_t2m_lag5
target_yield_soybeans,18,Water_Withdrawal_pct
target_yield_soybeans,19,Child_Mort
target_yield_soybeans,20,precip_seasonal_amplitude
target_yield_rapeseed,1,adult_mortality_female
target_yield_rapeseed,2,nasa_ps
target_yield_rapeseed,3,Child_Mort
target_yield_rapeseed,4,co_emissions
target_yield_rapeseed,5,dist_to_river_km
target_yield_rapeseed,6,bio11_temp_coldest_quarter
target_yield_rapeseed,7,nasa_t2m_max
target_yield_rapeseed,8,longitude
target_yield_rapeseed,9,arable_per_capita
target_yield_rapeseed,10,bio4_temp_seasonality
target_yield_rapeseed,11,nasa_rh2m_ref
target_yield_rapeseed,12,co_emissions_lag1
target_yield_rapeseed,13,forest_area_km2
target_yield_rapeseed,14,disaster_damages_usd_cumul5y
target_yield_rapeseed,15,bio10_temp_warmest_quarter
target_yield_rapeseed,16,owid_pop_density
target_yield_rapeseed,17,meat_consumption_pc_lag3
target_yield_rapeseed,18,forest_share_pct
target_yield_rapeseed,19,nasa_t2m_roll5
target_yield_rapeseed,20,Life_Exp_OWID
target_yield_sunflower,1,fertilizer_consumption
target_yield_sunflower,2,temp_min
target_yield_sunflower,3,bio11_temp_coldest_quarter
target_yield_sunflower,4,dist_to_freshwater_km
target_yield_sunflower,5,adult_mortality_male
target_yield_sunflower,6,Child_Mort
target_yield_sunflower,7,adult_mortality_female
target_yield_sunflower,8,dist_to_river_km
target_yield_sunflower,9,bio8_temp_wettest_quarter
target_yield_sunflower,10,dist_to_lake_km
target_yield_sunflower,11,bio9_temp_driest_quarter
target_yield_sunflower,12,nasa_t2m_min_ref
target_yield_sunflower,13,temp_mean
target_yield_sunflower,14,volcanoes_count
target_yield_sunflower,15,gdp_per_arable_ha_roll5
target_yield_sunflower,16,gdp_per_arable_ha
target_yield_sunflower,17,forest_per_capita_km2
target_yield_sunflower,18,owid_pop_density
target_yield_sunflower,19,arable_per_capita
target_yield_sunflower,20,co2_per_capita_calc
target_yield_groundnut,1,owid_co2_pc
target_yield_groundnut,2,bio17_precip_driest_quarter
target_yield_groundnut,3,forest_share_pct
target_yield_groundnut,4,co_emissions
target_yield_groundnut,5,vapor_pressure_mean
target_yield_groundnut,6,growing_season_index_lag3
target_yield_groundnut,7,dist_to_lake_km
target_yield_groundnut,8,dependency_ratio
target_yield_groundnut,9,dist_to_coast_km
target_yield_groundnut,10,longitude
target_yield_groundnut,11,growing_season_index_lag1
target_yield_groundnut,12,growing_season_index
target_yield_groundnut,13,Fertility_Rate
target_yield_groundnut,14,adult_mortality_female
target_yield_groundnut,15,growing_season_index_roll5
target_yield_groundnut,16,bio11_temp_coldest_quarter
target_yield_groundnut,17,nasa_prectotcorr_ref
target_yield_groundnut,18,Urban_pct
target_yield_groundnut,19,bio16_precip_wettest_quarter
target_yield_groundnut,20,gdp_per_arable_ha_roll5
target_yield_olives,1,co_emissions
target_yield_olives,2,dist_to_freshwater_km
target_yield_olives,3,bio19_precip_coldest_quarter
target_yield_olives,4,bio2_mean_diurnal_range
target_yield_olives,5,dist_to_river_km
target_yield_olives,6,Urban_pct
target_yield_olives,7,elevation
target_yield_olives,8,bio8_temp_wettest_quarter
target_yield_olives,9,Malaria
target_yield_olives,10,longitude
target_yield_olives,11,T_annual_C_roll5
target_yield_olives,12,co_emissions_roll5
target_yield_olives,13,bio7_temp_annual_range
target_yield_olives,14,meat_consumption_pc_lag3
target_yield_olives,15,Child_Mort
target_yield_olives,16,nasa_t2m_roll5
target_yield_olives,17,forest_change
target_yield_olives,18,fertilizer_consumption
target_yield_olives,19,Life_Exp_OWID
target_yield_olives,20,GDP_total_usd
target_yield_sesame,1,Life_Exp
target_yield_sesame,2,Child_Mort
target_yield_sesame,3,pop_65_plus_pct_lag5
target_yield_sesame,4,growing_season_index_lag3
target_yield_sesame,5,bio9_temp_driest_quarter
target_yield_sesame,6,forest_share_pct
target_yield_sesame,7,forest_area_km2
target_yield_sesame,8,meat_consumption_pc_lag3
target_yield_sesame,9,dist_to_river_km
target_yield_sesame,10,growing_season_index_lag5
target_yield_sesame,11,conflict_per_million
target_yield_sesame,12,temp_max
target_yield_sesame,13,nasa_t2m_ref
target_yield_sesame,14,feature_vsi
target_yield_sesame,15,bio18_precip_warmest_quarter
target_yield_sesame,16,meat_consumption_pc_roll5
target_yield_sesame,17,growing_season_index_lag1
target_yield_sesame,18,owid_agri_land_share
target_yield_sesame,19,bio8_temp_wettest_quarter
target_yield_sesame,20,P_annual_mm_roll5
target_yield_coconut,1,roughness_m
target_yield_coconut,2,dist_to_freshwater_km
target_yield_coconut,3,precip_seasonality
target_yield_coconut,4,wind_speed_mean
target_yield_coconut,5,forest_change
target_yield_coconut,6,dist_to_river_km
target_yield_coconut,7,nasa_t2m_max_ref
target_yield_coconut,8,forest_area_km2
target_yield_coconut,9,area_km2
target_yield_coconut,10,forest_share_pct
target_yield_coconut,11,Irrigation_equipee_ha
target_yield_coconut,12,safe_water_pct
target_yield_coconut,13,bio2_mean_diurnal_range
target_yield_coconut,14,solar_radiation_mean
